anio,instancia,nivel,universo,seccion_id,seccion,localidad,circuito_id,agrupacion_original,agrupacion_homologada,familia,bloque,votos
2015,BALOTAJE,circuito,provincia_completa,009,La Capital,,0019,CAMBIEMOS,Cambiemos / Juntos por el Cambio,Cambiemos,No kirchnerismo,11922
2015,BALOTAJE,circuito,provincia_completa,009,La Capital,,0019,FRENTE PARA LA VICTORIA,Frente para la Victoria,Peronismo kirchnerista,Kirchnerismo,7856
2015,BALOTAJE,circuito,provincia_completa,009,La Capital,,0020,CAMBIEMOS,Cambiemos / Juntos por el Cambio,Cambiemos,No kirchnerismo,9239
2015,BALOTAJE,circuito,provincia_completa,009,La Capital,,0020,FRENTE PARA LA VICTORIA,Frente para la Victoria,Peronismo kirchnerista,Kirchnerismo,6507
2015,BALOTAJE,circuito,provincia_completa,009,La Capital,,0020A,CAMBIEMOS,Cambiemos / Juntos por el Cambio,Cambiemos,No kirchnerismo,11207
2015,BALOTAJE,circuito,provincia_completa,009,La Capital,,0020A,FRENTE PARA LA VICTORIA,Frente para la Victoria,Peronismo kirchnerista,Kirchnerismo,6931
2015,BALOTAJE,circuito,provincia_completa,009,La Capital,,0020B,CAMBIEMOS,Cambiemos / Juntos por el Cambio,Cambiemos,No kirchnerismo,3719
2015,BALOTAJE,circuito,provincia_completa,009,La Capital,,0020B,FRENTE PARA LA VICTORIA,Frente para la Victoria,Peronismo kirchnerista,Kirchnerismo,3492
2015,BALOTAJE,circuito,provincia_completa,009,La Capital,,0021,CAMBIEMOS,Cambiemos / Juntos por el Cambio,Cambiemos,No kirchnerismo,2020
2015,BALOTAJE,circuito,provincia_completa,009,La Capital,,0021,FRENTE PARA LA VICTORIA,Frente para la Victoria,Peronismo kirchnerista,Kirchnerismo,1968
2015,BALOTAJE,circuito,provincia_completa,009,La Capital,,0022,CAMBIEMOS,Cambiemos / Juntos por el Cambio,Cambiemos,No kirchnerismo,3288
2015,BALOTAJE,circuito,provincia_completa,009,La Capital,,0022,FRENTE PARA LA VICTORIA,Frente para la Victoria,Peronismo kirchnerista,Kirchnerismo,3579
2015,BALOTAJE,circuito,provincia_completa,009,La Capital,,0023,CAMBIEMOS,Cambiemos / Juntos por el Cambio,Cambiemos,No kirchnerismo,4478
2015,BALOTAJE,circuito,provincia_completa,009,La Capital,,0023,FRENTE PARA LA VICTORIA,Frente para la Victoria,Peronismo kirchnerista,Kirchnerismo,4241
2015,BALOTAJE,circuito,provincia_completa,009,La Capital,,0024,CAMBIEMOS,Cambiemos / Juntos por el Cambio,Cambiemos,No kirchnerismo,2365
2015,BALOTAJE,circuito,provincia_completa,009,La Capital,,0024,FRENTE PARA LA VICTORIA,Frente para la Victoria,Peronismo kirchnerista,Kirchnerismo,2194
2015,BALOTAJE,circuito,provincia_completa,009,La Capital,,0025,CAMBIEMOS,Cambiemos / Juntos por el Cambio,Cambiemos,No kirchnerismo,426
2015,BALOTAJE,circuito,provincia_completa,009,La Capital,,0025,FRENTE PARA LA VICTORIA,Frente para la Victoria,Peronismo kirchnerista,Kirchnerismo,244
2015,BALOTAJE,circuito,provincia_completa,009,La Capital,,0026,CAMBIEMOS,Cambiemos / Juntos por el Cambio,Cambiemos,No kirchnerismo,431
2015,BALOTAJE,circuito,provincia_completa,009,La Capital,,0026,FRENTE PARA LA VICTORIA,Frente para la Victoria,Peronismo kirchnerista,Kirchnerismo,527
2015,BALOTAJE,circuito,provincia_completa,009,La Capital,,0027,CAMBIEMOS,Cambiemos / Juntos por el Cambio,Cambiemos,No kirchnerismo,3717
