anio,instancia,cargo,distrito_id,distrito,seccion_id,seccion,circuito_id,agrupacion,tipo_registro,votos,electores,mesas,recuento_tipo,fuente,particion_comparable
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0010,CAMBIEMOS,agrupacion,4973,9425,27,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0010,FRENTE PARA LA VICTORIA,agrupacion,2316,9425,27,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0010,blancos,blancos,173,9425,27,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0010,nulos,nulos,104,9425,27,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0011,CAMBIEMOS,agrupacion,3923,7872,23,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0011,FRENTE PARA LA VICTORIA,agrupacion,2027,7872,23,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0011,blancos,blancos,128,7872,23,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0011,nulos,nulos,111,7872,23,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0011A,CAMBIEMOS,agrupacion,1631,9614,28,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0011A,FRENTE PARA LA VICTORIA,agrupacion,4978,9614,28,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0011A,blancos,blancos,47,9614,28,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0011A,nulos,nulos,130,9614,28,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0012,CAMBIEMOS,agrupacion,4696,8865,26,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0012,FRENTE PARA LA VICTORIA,agrupacion,2050,8865,26,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0012,blancos,blancos,132,8865,26,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0012,nulos,nulos,101,8865,26,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0013,CAMBIEMOS,agrupacion,8217,16882,49,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0013,FRENTE PARA LA VICTORIA,agrupacion,4687,16882,49,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0013,blancos,blancos,200,16882,49,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0013,nulos,nulos,225,16882,49,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0014,CAMBIEMOS,agrupacion,7893,24134,69,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0014,FRENTE PARA LA VICTORIA,agrupacion,9109,24134,69,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0014,blancos,blancos,197,24134,69,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0014,nulos,nulos,357,24134,69,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0015,CAMBIEMOS,agrupacion,5281,22628,65,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0015,FRENTE PARA LA VICTORIA,agrupacion,10449,22628,65,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0015,blancos,blancos,112,22628,65,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0015,nulos,nulos,350,22628,65,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0016,CAMBIEMOS,agrupacion,18725,60880,174,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0016,FRENTE PARA LA VICTORIA,agrupacion,23707,60880,174,PROVISORIO,polar_atlas_andytow,si
2015,BALOTAJE,PRESIDENTE Y VICE,21,Santa Fe,009,La Capital,0016,blancos,blancos,400,60880,174,PROVISORIO,polar_atlas_andytow,si
