anio,instancia,fecha,distrito,seccion,localidad,mesas,electores,archivo_origen
2011,GENERAL,2011-10-23,Santa Fe,Castellanos,Sunchales,48,16488,2011_GENERAL_DIST21_santafe_presidente.xlsx
2011,GENERAL,2011-10-23,Santa Fe,Castellanos,Zenón Pereyra,5,1487,2011_GENERAL_DIST21_santafe_presidente.xlsx
2011,GENERAL,2011-10-23,Santa Fe,Las Colonias,Esperanza,84,29186,2011_GENERAL_DIST21_santafe_presidente.xlsx
2011,GENERAL,2011-10-23,Santa Fe,Las Colonias,Felicia,6,1852,2011_GENERAL_DIST21_santafe_presidente.xlsx
2011,GENERAL,2011-10-23,Santa Fe,Las Colonias,Franck,12,4008,2011_GENERAL_DIST21_santafe_presidente.xlsx
2011,GENERAL,2011-10-23,Santa Fe,Las Colonias,Humboldt,11,3614,2011_GENERAL_DIST21_santafe_presidente.xlsx
2011,GENERAL,2011-10-23,Santa Fe,Las Colonias,Pilar,11,3726,2011_GENERAL_DIST21_santafe_presidente.xlsx
2011,GENERAL,2011-10-23,Santa Fe,Las Colonias,Progreso,6,1767,2011_GENERAL_DIST21_santafe_presidente.xlsx
2011,GENERAL,2011-10-23,Santa Fe,Las Colonias,San Carlos Centro,26,9033,2011_GENERAL_DIST21_santafe_presidente.xlsx
2011,GENERAL,2011-10-23,Santa Fe,Las Colonias,San Carlos Sud,4,1289,2011_GENERAL_DIST21_santafe_presidente.xlsx
2011,GENERAL,2011-10-23,Santa Fe,Las Colonias,San Jerónimo Norte,15,5210,2011_GENERAL_DIST21_santafe_presidente.xlsx
2011,GENERAL,2011-10-23,Santa Fe,Las Colonias,Santa Clara de Buena Vista,7,2275,2011_GENERAL_DIST21_santafe_presidente.xlsx
2011,GENERAL,2011-10-23,Santa Fe,San Martín,Carlos Pellegrini,12,4135,2011_GENERAL_DIST21_santafe_presidente.xlsx
2011,GENERAL,2011-10-23,Santa Fe,San Martín,Cañada Rosquín,12,4133,2011_GENERAL_DIST21_santafe_presidente.xlsx
2011,GENERAL,2011-10-23,Santa Fe,San Martín,El Trébol,26,8953,2011_GENERAL_DIST21_santafe_presidente.xlsx
2011,GENERAL,2011-10-23,Santa Fe,San Martín,María Susana,8,2787,2011_GENERAL_DIST21_santafe_presidente.xlsx
2011,GENERAL,2011-10-23,Santa Fe,San Martín,Piamonte,8,2712,2011_GENERAL_DIST21_santafe_presidente.xlsx
2011,GENERAL,2011-10-23,Santa Fe,San Martín,San Jorge,41,14217,2011_GENERAL_DIST21_santafe_presidente.xlsx
2011,GENERAL,2011-10-23,Santa Fe,San Martín,San Martín de las Escobas,6,2070,2011_GENERAL_DIST21_santafe_presidente.xlsx
2011,GENERAL,2011-10-23,Santa Fe,San Martín,Sastre y Ortiz,14,4619,2011_GENERAL_DIST21_santafe_presidente.xlsx
2015,GENERAL,2015-10-25,Santa Fe,Castellanos,Ataliva,5,1671,2015_GENERAL_DIST21_santafe_presidente.xlsx
2015,GENERAL,2015-10-25,Santa Fe,Castellanos,Colonia Aldao,5,1571,2015_GENERAL_DIST21_santafe_presidente.xlsx
2015,GENERAL,2015-10-25,Santa Fe,Castellanos,Frontera,22,7486,2015_GENERAL_DIST21_santafe_presidente.xlsx
2015,GENERAL,2015-10-25,Santa Fe,Castellanos,Humberto Primo,14,4690,2015_GENERAL_DIST21_santafe_presidente.xlsx
2015,GENERAL,2015-10-25,Santa Fe,Castellanos,Josefina,4,1403,2015_GENERAL_DIST21_santafe_presidente.xlsx
2015,GENERAL,2015-10-25,Santa Fe,Castellanos,Lehmann,7,2449,2015_GENERAL_DIST21_santafe_presidente.xlsx
2015,GENERAL,2015-10-25,Santa Fe,Castellanos,María Juana,13,4344,2015_GENERAL_DIST21_santafe_presidente.xlsx
2015,GENERAL,2015-10-25,Santa Fe,Castellanos,Ramona,5,1628,2015_GENERAL_DIST21_santafe_presidente.xlsx
2015,GENERAL,2015-10-25,Santa Fe,Castellanos,San Vicente,15,5054,2015_GENERAL_DIST21_santafe_presidente.xlsx
2015,GENERAL,2015-10-25,Santa Fe,Castellanos,Santa Clara de Saguier,5,1554,2015_GENERAL_DIST21_santafe_presidente.xlsx
2015,GENERAL,2015-10-25,Santa Fe,Castellanos,Sunchales,51,17688,2015_GENERAL_DIST21_santafe_presidente.xlsx
2015,GENERAL,2015-10-25,Santa Fe,Castellanos,Zenón Pereyra,5,1466,2015_GENERAL_DIST21_santafe_presidente.xlsx
2015,GENERAL,2015-10-25,Santa Fe,Las Colonias,Esperanza,94,32737,2015_GENERAL_DIST21_santafe_presidente.xlsx
2015,GENERAL,2015-10-25,Santa Fe,Las Colonias,Felicia,6,1951,2015_GENERAL_DIST21_santafe_presidente.xlsx
2015,GENERAL,2015-10-25,Santa Fe,Las Colonias,Franck,14,4712,2015_GENERAL_DIST21_santafe_presidente.xlsx
2015,GENERAL,2015-10-25,Santa Fe,Las Colonias,Humboldt,12,4047,2015_GENERAL_DIST21_santafe_presidente.xlsx
2015,GENERAL,2015-10-25,Santa Fe,Las Colonias,Pilar,12,4144,2015_GENERAL_DIST21_santafe_presidente.xlsx
2015,GENERAL,2015-10-25,Santa Fe,Las Colonias,Progreso,6,1998,2015_GENERAL_DIST21_santafe_presidente.xlsx
2015,GENERAL,2015-10-25,Santa Fe,Las Colonias,San Carlos Centro,28,9671,2015_GENERAL_DIST21_santafe_presidente.xlsx
2015,GENERAL,2015-10-25,Santa Fe,Las Colonias,San Carlos Sud,6,1829,2015_GENERAL_DIST21_santafe_presidente.xlsx
2015,GENERAL,2015-10-25,Santa Fe,Las Colonias,San Jerónimo Norte,16,5588,2015_GENERAL_DIST21_santafe_presidente.xlsx
2015,GENERAL,2015-10-25,Santa Fe,Las Colonias,Santa Clara de Buena Vista,8,2519,2015_GENERAL_DIST21_santafe_presidente.xlsx
2015,GENERAL,2015-10-25,Santa Fe,San Martín,Carlos Pellegrini,14,4576,2015_GENERAL_DIST21_santafe_presidente.xlsx
2015,GENERAL,2015-10-25,Santa Fe,San Martín,Cañada Rosquín,12,4109,2015_GENERAL_DIST21_santafe_presidente.xlsx
2015,GENERAL,2015-10-25,Santa Fe,San Martín,El Trébol,29,9940,2015_GENERAL_DIST21_santafe_presidente.xlsx
2015,GENERAL,2015-10-25,Santa Fe,San Martín,María Susana,9,2861,2015_GENERAL_DIST21_santafe_presidente.xlsx
2015,GENERAL,2015-10-25,Santa Fe,San Martín,Piamonte,9,2873,2015_GENERAL_DIST21_santafe_presidente.xlsx
2015,GENERAL,2015-10-25,Santa Fe,San Martín,San Jorge,44,15366,2015_GENERAL_DIST21_santafe_presidente.xlsx
2015,GENERAL,2015-10-25,Santa Fe,San Martín,San Martín de las Escobas,7,2337,2015_GENERAL_DIST21_santafe_presidente.xlsx
2015,GENERAL,2015-10-25,Santa Fe,San Martín,Sastre y Ortiz,14,4900,2015_GENERAL_DIST21_santafe_presidente.xlsx
2019,GENERAL,2019-10-27,Santa Fe,Castellanos,Ataliva,5,1715,2019_GENERAL_DIST21_santafe_presidente.xlsx
2019,GENERAL,2019-10-27,Santa Fe,Castellanos,Colonia Aldao,5,1615,2019_GENERAL_DIST21_santafe_presidente.xlsx
2019,GENERAL,2019-10-27,Santa Fe,Castellanos,Frontera,21,7033,2019_GENERAL_DIST21_santafe_presidente.xlsx
2019,GENERAL,2019-10-27,Santa Fe,Castellanos,Humberto Primo,14,4724,2019_GENERAL_DIST21_santafe_presidente.xlsx
2019,GENERAL,2019-10-27,Santa Fe,Castellanos,Josefina,3,706,2019_GENERAL_DIST21_santafe_presidente.xlsx
2019,GENERAL,2019-10-27,Santa Fe,Castellanos,Lehmann,8,2516,2019_GENERAL_DIST21_santafe_presidente.xlsx
2019,GENERAL,2019-10-27,Santa Fe,Castellanos,María Juana,13,4339,2019_GENERAL_DIST21_santafe_presidente.xlsx
2019,GENERAL,2019-10-27,Santa Fe,Castellanos,Ramona,5,1620,2019_GENERAL_DIST21_santafe_presidente.xlsx
2019,GENERAL,2019-10-27,Santa Fe,Castellanos,San Vicente,15,5167,2019_GENERAL_DIST21_santafe_presidente.xlsx
2019,GENERAL,2019-10-27,Santa Fe,Castellanos,Santa Clara de Saguier,6,1814,2019_GENERAL_DIST21_santafe_presidente.xlsx
2019,GENERAL,2019-10-27,Santa Fe,Castellanos,Sunchales,54,18873,2019_GENERAL_DIST21_santafe_presidente.xlsx
2019,GENERAL,2019-10-27,Santa Fe,Castellanos,Zenón Pereyra,5,1449,2019_GENERAL_DIST21_santafe_presidente.xlsx
2019,GENERAL,2019-10-27,Santa Fe,Las Colonias,Esperanza,100,34680,2019_GENERAL_DIST21_santafe_presidente.xlsx
2019,GENERAL,2019-10-27,Santa Fe,Las Colonias,Felicia,6,1956,2019_GENERAL_DIST21_santafe_presidente.xlsx
2019,GENERAL,2019-10-27,Santa Fe,Las Colonias,Franck,15,5043,2019_GENERAL_DIST21_santafe_presidente.xlsx
2019,GENERAL,2019-10-27,Santa Fe,Las Colonias,Humboldt,13,4292,2019_GENERAL_DIST21_santafe_presidente.xlsx
2019,GENERAL,2019-10-27,Santa Fe,Las Colonias,Pilar,13,4286,2019_GENERAL_DIST21_santafe_presidente.xlsx
2019,GENERAL,2019-10-27,Santa Fe,Las Colonias,Progreso,6,2098,2019_GENERAL_DIST21_santafe_presidente.xlsx
