anio,instancia,cargo,distrito_id,distrito,agrupacion_id,agrupacion,formula,tipo_registro,votos,pct,archivo_origen
2015,PASO,PRESIDENTE Y VICE,21,Santa Fe,138,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),"de la Sota, José Manuel - Rucci, Claudia Mónica",formula,140979,0.3824,2015_PASO_nacional_presidente.xlsx
2015,PASO,PRESIDENTE Y VICE,21,Santa Fe,132,ALIANZA PROGRESISTAS,,agrupacion,102997,0.0617,2015_PASO_nacional_presidente.xlsx
2015,PASO,PRESIDENTE Y VICE,21,Santa Fe,132,ALIANZA PROGRESISTAS,"Stolbizer, Margarita Rosa - Olaviaga, Miguel Ángel",formula,102997,1,2015_PASO_nacional_presidente.xlsx
2015,PASO,PRESIDENTE Y VICE,21,Santa Fe,137,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,,agrupacion,37121,0.0223,2015_PASO_nacional_presidente.xlsx
2015,PASO,PRESIDENTE Y VICE,21,Santa Fe,137,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,"del Caño, Nicolás - Bregman, Myriam Teresa",formula,21064,0.5674,2015_PASO_nacional_presidente.xlsx
2015,PASO,PRESIDENTE Y VICE,21,Santa Fe,137,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,"Altamira, Jorge - Giordano, Juan Carlos",formula,16057,0.4326,2015_PASO_nacional_presidente.xlsx
2015,PASO,PRESIDENTE Y VICE,21,Santa Fe,133,ALIANZA COMPROMISO FEDERAL,,agrupacion,47438,0.0284,2015_PASO_nacional_presidente.xlsx
2015,PASO,PRESIDENTE Y VICE,21,Santa Fe,133,ALIANZA COMPROMISO FEDERAL,"Rodríguez Saá, Adolfo - Negre De Alonso, Liliana Teresita",formula,47438,1,2015_PASO_nacional_presidente.xlsx
2015,PASO,PRESIDENTE Y VICE,21,Santa Fe,136,ALIANZA FRENTE POPULAR,,agrupacion,8257,0.0049,2015_PASO_nacional_presidente.xlsx
2015,PASO,PRESIDENTE Y VICE,21,Santa Fe,136,ALIANZA FRENTE POPULAR,"De Gennaro, Víctor Norberto - Codoni, Evangelina Soledad",formula,8257,1,2015_PASO_nacional_presidente.xlsx
2015,PASO,PRESIDENTE Y VICE,21,Santa Fe,13,MOVIMIENTO AL SOCIALISMO,,agrupacion,6324,0.0038,2015_PASO_nacional_presidente.xlsx
2015,PASO,PRESIDENTE Y VICE,21,Santa Fe,13,MOVIMIENTO AL SOCIALISMO,"Castañeira, Manuela Jimena - Ayala, Jorge Luis",formula,6324,1,2015_PASO_nacional_presidente.xlsx
2015,PASO,PRESIDENTE Y VICE,21,Santa Fe,134,MST - NUEVA IZQUIERDA,,agrupacion,6220,0.0037,2015_PASO_nacional_presidente.xlsx
2015,PASO,PRESIDENTE Y VICE,21,Santa Fe,134,MST - NUEVA IZQUIERDA,"Bodart, Hugo Alejandro - Ripoll, Vilma Ana",formula,6220,1,2015_PASO_nacional_presidente.xlsx
2015,PASO,PRESIDENTE Y VICE,21,Santa Fe,81,PARTIDO POPULAR,,agrupacion,4468,0.0027,2015_PASO_nacional_presidente.xlsx
2015,PASO,PRESIDENTE Y VICE,21,Santa Fe,81,PARTIDO POPULAR,"Yattah, Mauricio Jorge - Moretta, María Belén",formula,4468,1,2015_PASO_nacional_presidente.xlsx
2015,PASO,PRESIDENTE Y VICE,21,Santa Fe,57,MOVIMIENTO DE ACCIÓN VECINAL,,agrupacion,2364,0.0014,2015_PASO_nacional_presidente.xlsx
2015,PASO,PRESIDENTE Y VICE,21,Santa Fe,57,MOVIMIENTO DE ACCIÓN VECINAL,"Albarracín, Raúl Humberto - Dib, Gastón",formula,2364,1,2015_PASO_nacional_presidente.xlsx
2015,PASO,PRESIDENTE Y VICE,21,Santa Fe,,VOTOS POSITIVOS,,positivo,1668250,0.9241,2015_PASO_nacional_presidente.xlsx
2015,PASO,PRESIDENTE Y VICE,21,Santa Fe,,VOTOS EN BLANCO,,blancos,98878,0.0548,2015_PASO_nacional_presidente.xlsx
2015,PASO,PRESIDENTE Y VICE,21,Santa Fe,,VOTOS NULOS,,nulos,38235,0.0212,2015_PASO_nacional_presidente.xlsx
2015,PASO,PRESIDENTE Y VICE,21,Santa Fe,,TOTAL DE VOTANTES,,total,1805363,,2015_PASO_nacional_presidente.xlsx
