anio,instancia,fecha,cargo,distrito_id,distrito,seccion,localidad,circuito_id,agrupacion,tipo_registro,votos,archivo_origen
2007,GENERAL,2007-10-28,PRESIDENTE Y VICE,21,Santa Fe,Castellanos,Ataliva,0121,CRISTINA E. FERNANDEZ DE KIRCHNER-JULIO C.C. COBOS,agrupacion,368,2007_GENERAL_DIST21_santafe_presidente.xlsx
2007,GENERAL,2007-10-28,PRESIDENTE Y VICE,21,Santa Fe,Castellanos,Ataliva,0121,ROBERTO LAVAGNA-GERARDO R. MORALES,agrupacion,278,2007_GENERAL_DIST21_santafe_presidente.xlsx
2007,GENERAL,2007-10-28,PRESIDENTE Y VICE,21,Santa Fe,Castellanos,Ataliva,0121,ELISA M.A. CARRIO-RUBEN HECTOR GIUSTINIANI,agrupacion,228,2007_GENERAL_DIST21_santafe_presidente.xlsx
2007,GENERAL,2007-10-28,PRESIDENTE Y VICE,21,Santa Fe,Castellanos,Ataliva,0121,ALBERTO J. RODRIGUEZ SAA-HECTOR M. MAYA,agrupacion,107,2007_GENERAL_DIST21_santafe_presidente.xlsx
2007,GENERAL,2007-10-28,PRESIDENTE Y VICE,21,Santa Fe,Castellanos,Ataliva,0121,RICARDO LOPEZ MURPHY-ESTEBAN BULLRICH,agrupacion,14,2007_GENERAL_DIST21_santafe_presidente.xlsx
2007,GENERAL,2007-10-28,PRESIDENTE Y VICE,21,Santa Fe,Castellanos,Ataliva,0121,JORGE OMAR SOBISCH-JORGE ASIS,agrupacion,13,2007_GENERAL_DIST21_santafe_presidente.xlsx
2007,GENERAL,2007-10-28,PRESIDENTE Y VICE,21,Santa Fe,Castellanos,Ataliva,0121,FERNANDO 'PINO' SOLANAS-ANGEL F. CADELLI,agrupacion,12,2007_GENERAL_DIST21_santafe_presidente.xlsx
2007,GENERAL,2007-10-28,PRESIDENTE Y VICE,21,Santa Fe,Castellanos,Ataliva,0121,NESTOR A. PITROLA-GABRIELA A. ARROYOS,agrupacion,5,2007_GENERAL_DIST21_santafe_presidente.xlsx
2007,GENERAL,2007-10-28,PRESIDENTE Y VICE,21,Santa Fe,Castellanos,Ataliva,0121,VILMA RIPOLL-HECTOR BIDONDE,agrupacion,5,2007_GENERAL_DIST21_santafe_presidente.xlsx
2007,GENERAL,2007-10-28,PRESIDENTE Y VICE,21,Santa Fe,Castellanos,Ataliva,0121,RAUL ANIBAL CASTELLS-'NINA' PELOZO,agrupacion,3,2007_GENERAL_DIST21_santafe_presidente.xlsx
2007,GENERAL,2007-10-28,PRESIDENTE Y VICE,21,Santa Fe,Castellanos,Ataliva,0121,JOSE A. MONTES-HECTOR A. HEBERLING,agrupacion,2,2007_GENERAL_DIST21_santafe_presidente.xlsx
