circuito_id,seccion_id,seccion,localidad,mesas,electores,anio_referencia
01365,5,Castellanos,,1,47,2023
01370,5,Castellanos,,4,1190,2023
01380,5,Castellanos,Zenón Pereyra,5,1474,2023
01390,5,Castellanos,,2,509,2023
01400,5,Castellanos,María Juana,13,4216,2023
01410,5,Castellanos,,1,315,2023
01420,5,Castellanos,San Vicente,16,5368,2023
01430,5,Castellanos,,5,1414,2023
01440,5,Castellanos,,3,787,2023
01450,5,Castellanos,,1,307,2023
01460,5,Castellanos,,1,351,2023
01470,5,Castellanos,,1,172,2023
01480,5,Castellanos,,1,111,2023
01490,5,Castellanos,,1,144,2023
01500,5,Castellanos,,1,92,2023
01510,5,Castellanos,,1,291,2023
01520,5,Castellanos,,1,53,2023
01530,6,San Martín,,2,514,2023
01540,6,San Martín,,1,296,2023
01550,6,San Martín,Sastre y Ortiz,14,4895,2023
01560,6,San Martín,San Martín de las Escobas,7,2445,2023
01570,6,San Martín,,4,1054,2023
01580,6,San Martín,San Jorge,47,16438,2023
01590,6,San Martín,,4,1161,2023
01600,6,San Martín,Carlos Pellegrini,14,4802,2023
01610,6,San Martín,Cañada Rosquín,13,4519,2023
01620,6,San Martín,,2,651,2023
01630,6,San Martín,,1,206,2023
01640,6,San Martín,Piamonte,9,2846,2023
01650,6,San Martín,El Trébol,31,10522,2023
01660,6,San Martín,María Susana,8,2783,2023
01670,6,San Martín,,4,1130,2023
01680,6,San Martín,,1,155,2023
01690,6,San Martín,,3,803,2023
01740,7,San Cristóbal,,1,147,2023
01750,7,San Cristóbal,,1,197,2023
01760,7,San Cristóbal,,2,357,2023
01770,7,San Cristóbal,,1,347,2023
01780,7,San Cristóbal,,42,14707,2023
01790,7,San Cristóbal,,8,2724,2023
01800,7,San Cristóbal,,3,1034,2023
01810,7,San Cristóbal,,3,720,2023
01815,7,San Cristóbal,,1,129,2023
01820,7,San Cristóbal,,1,153,2023
01830,7,San Cristóbal,,9,2888,2023
01840,7,San Cristóbal,,6,1830,2023
01850,7,San Cristóbal,,39,13340,2023
01860,7,San Cristóbal,,1,226,2023
01870,7,San Cristóbal,,3,836,2023
01880,7,San Cristóbal,,22,7631,2023
01890,7,San Cristóbal,,2,417,2023
01910,7,San Cristóbal,,17,5714,2023
01920,7,San Cristóbal,,1,262,2023
01930,7,San Cristóbal,,6,2047,2023
01940,7,San Cristóbal,,2,428,2023
01950,7,San Cristóbal,,4,1078,2023
01960,7,San Cristóbal,,2,678,2023
01964,7,San Cristóbal,,1,20,2023
01970,7,San Cristóbal,,2,387,2023
01980,7,San Cristóbal,,1,180,2023
01990,7,San Cristóbal,,1,122,2023
02000,7,San Cristóbal,,2,551,2023
02010,7,San Cristóbal,,1,341,2023
02020,7,San Cristóbal,,1,300,2023
02030,7,San Cristóbal,,1,319,2023
02040,7,San Cristóbal,,1,122,2023
