anio,instancia,fecha,cargo,distrito_id,distrito,seccion_id,seccion,circuito_id,circuito,mesa_id,agrupacion_id,agrupacion,lista_id,lista,tipo_registro,votos,pct_general,pct_validos,pct_afirmativos,pct_interna,archivo_origen
2023,GENERAL,2023-10-22,PRESIDENTE Y VICE,04,Cordoba,,,,,,,VOTOS IMPUGNADOS,,,impugnados,0,,,,,2023_GENERAL_DIST04_cordoba_presidente.xls
2023,GENERAL,2023-10-22,PRESIDENTE Y VICE,04,Cordoba,,,,,,,VOTOS EN BLANCO,,,blancos,18984,0.81,0.82,,,2023_GENERAL_DIST04_cordoba_presidente.xls
2023,GENERAL,2023-10-22,PRESIDENTE Y VICE,04,Cordoba,,,,,,,TOTALES,,,total,2341103,100,100,100,,2023_GENERAL_DIST04_cordoba_presidente.xls
2023,GENERAL,2023-10-22,PRESIDENTE Y VICE,08,Entre Rios,,,,,,132/502,JUNTOS POR EL CAMBIO-JUNTOS POR ENTRE RÍOS,,,agrupacion,255236,28.37,28.65,30.03,,2023_GENERAL_DIST08_entrerios_presidente.xls
2023,GENERAL,2023-10-22,PRESIDENTE Y VICE,08,Entre Rios,,,,,,133,HACEMOS POR NUESTRO PAIS,,,agrupacion,45540,5.06,5.11,5.36,,2023_GENERAL_DIST08_entrerios_presidente.xls
2023,GENERAL,2023-10-22,PRESIDENTE Y VICE,08,Entre Rios,,,,,,134/501,UNIÓN POR LA PATRIA-MÁS PARA ENTRE RÍOS,,,agrupacion,283136,31.47,31.78,33.31,,2023_GENERAL_DIST08_entrerios_presidente.xls
2023,GENERAL,2023-10-22,PRESIDENTE Y VICE,08,Entre Rios,,,,,,135/503,LA LIBERTAD AVANZA,,,agrupacion,252719,28.09,28.37,29.74,,2023_GENERAL_DIST08_entrerios_presidente.xls
2023,GENERAL,2023-10-22,PRESIDENTE Y VICE,08,Entre Rios,,,,,,136/68,FRENTE DE IZQUIERDA Y DE TRABAJADORES-NUEVA IZQUIERDA,,,agrupacion,13248,1.47,1.49,1.56,,2023_GENERAL_DIST08_entrerios_presidente.xls
2023,GENERAL,2023-10-22,PRESIDENTE Y VICE,08,Entre Rios,,,,,,,VOTOS NULOS,,,nulos,8708,0.97,,,,2023_GENERAL_DIST08_entrerios_presidente.xls
2023,GENERAL,2023-10-22,PRESIDENTE Y VICE,08,Entre Rios,,,,,,,VOTOS RECURRIDOS,,,recurridos,0,,,,,2023_GENERAL_DIST08_entrerios_presidente.xls
2023,GENERAL,2023-10-22,PRESIDENTE Y VICE,08,Entre Rios,,,,,,,VOTOS EN BLANCO,,,blancos,41050,4.56,4.61,,,2023_GENERAL_DIST08_entrerios_presidente.xls
2023,GENERAL,2023-10-22,PRESIDENTE Y VICE,08,Entre Rios,,,,,,,VOTOS IMPUGNADOS,,,impugnados,0,,,,,2023_GENERAL_DIST08_entrerios_presidente.xls
2023,GENERAL,2023-10-22,PRESIDENTE Y VICE,08,Entre Rios,,,,,,,TOTALES,,,total,899637,100,100,100,,2023_GENERAL_DIST08_entrerios_presidente.xls
2023,GENERAL,2023-10-22,PRESIDENTE Y VICE,21,Santa Fe,,,,,,132/504,JUNTOS POR EL CAMBIO,,,agrupacion,549363,26.31,26.63,26.88,,2023_GENERAL_DIST21_santafe_presidente.xls
2023,GENERAL,2023-10-22,PRESIDENTE Y VICE,21,Santa Fe,,,,,,133/506,HACEMOS POR NUESTRO PAIS LA FUERZA DE SANTA FE,,,agrupacion,184337,8.83,8.93,9.02,,2023_GENERAL_DIST21_santafe_presidente.xls
2023,GENERAL,2023-10-22,PRESIDENTE Y VICE,21,Santa Fe,,,,,,134/507,UNION POR LA PATRIA,,,agrupacion,607088,29.07,29.42,29.7,,2023_GENERAL_DIST21_santafe_presidente.xls
2023,GENERAL,2023-10-22,PRESIDENTE Y VICE,21,Santa Fe,,,,,,135/501,LA LIBERTAD AVANZA,,,agrupacion,664607,31.82,32.21,32.52,,2023_GENERAL_DIST21_santafe_presidente.xls
2023,GENERAL,2023-10-22,PRESIDENTE Y VICE,21,Santa Fe,,,,,,136/502,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,,,agrupacion,38550,1.85,1.87,1.89,,2023_GENERAL_DIST21_santafe_presidente.xls
2023,GENERAL,2023-10-22,PRESIDENTE Y VICE,21,Santa Fe,,,,,,,VOTOS EN BLANCO,,,blancos,19267,0.92,0.93,,,2023_GENERAL_DIST21_santafe_presidente.xls
2023,GENERAL,2023-10-22,PRESIDENTE Y VICE,21,Santa Fe,,,,,,,VOTOS NULOS,,,nulos,25153,1.2,,,,2023_GENERAL_DIST21_santafe_presidente.xls
2023,GENERAL,2023-10-22,PRESIDENTE Y VICE,21,Santa Fe,,,,,,,VOTOS RECURRIDOS,,,recurridos,0,,,,,2023_GENERAL_DIST21_santafe_presidente.xls
2023,GENERAL,2023-10-22,PRESIDENTE Y VICE,21,Santa Fe,,,,,,,VOTOS IMPUGNADOS,,,impugnados,0,,,,,2023_GENERAL_DIST21_santafe_presidente.xls
2023,GENERAL,2023-10-22,PRESIDENTE Y VICE,21,Santa Fe,,,,,,,TOTALES,,,total,2088365,100,100,100,,2023_GENERAL_DIST21_santafe_presidente.xls
