anio,instancia,cargo,distrito_id,distrito,recuento_tipo,fuente,nivel,seccion_id,circuito_id,mesas,electores,votantes,agrupacion,lista,tipo_registro,votos
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,3,,397,129009,99162,ALIANZA COMPROMISO FEDERAL,,agrupacion,5477
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,3,,397,129009,99162,ALIANZA FRENTE AMPLIO PROGRESISTA,,agrupacion,30841
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,3,,397,129009,99162,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,,agrupacion,1050
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,3,,397,129009,99162,ALIANZA PROYECTO SUR,,agrupacion,389
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,3,,397,129009,99162,ALIANZA UNION PARA EL DESARROLLO SOCIAL - UDESO,,agrupacion,6889
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,3,,397,129009,99162,nulos,,nulos,1528
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,3,,397,129009,99162,blancos,,blancos,1779
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,3,,397,129009,99162,recurridos,,recurridos,159
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,4,,206,69561,54995,DEL CAMPO POPULAR,,agrupacion,69
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,4,,206,69561,54995,COALICION CIVICA ARI,,agrupacion,1571
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,4,,206,69561,54995,MOVIMIENTO DE ACCION VECINAL,,agrupacion,10
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,4,,206,69561,54995,ALIANZA FRENTE PARA LA VICTORIA,,agrupacion,20779
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,4,,206,69561,54995,ALIANZA FRENTE POPULAR,,agrupacion,6381
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,4,,206,69561,54995,ALIANZA COMPROMISO FEDERAL,,agrupacion,3606
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,4,,206,69561,54995,ALIANZA FRENTE AMPLIO PROGRESISTA,,agrupacion,15410
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,4,,206,69561,54995,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,,agrupacion,635
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,4,,206,69561,54995,ALIANZA PROYECTO SUR,,agrupacion,292
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,4,,206,69561,54995,ALIANZA UNION PARA EL DESARROLLO SOCIAL - UDESO,,agrupacion,4166
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,4,,206,69561,54995,nulos,,nulos,634
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,4,,206,69561,54995,blancos,,blancos,846
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,4,,206,69561,54995,recurridos,,recurridos,596
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,5,,50,15682,11569,DEL CAMPO POPULAR,,agrupacion,31
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,5,,50,15682,11569,COALICION CIVICA ARI,,agrupacion,203
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,5,,50,15682,11569,MOVIMIENTO DE ACCION VECINAL,,agrupacion,27
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,5,,50,15682,11569,ALIANZA FRENTE PARA LA VICTORIA,,agrupacion,5818
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,5,,50,15682,11569,ALIANZA FRENTE POPULAR,,agrupacion,875
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,5,,50,15682,11569,ALIANZA COMPROMISO FEDERAL,,agrupacion,244
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,5,,50,15682,11569,ALIANZA FRENTE AMPLIO PROGRESISTA,,agrupacion,3096
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,5,,50,15682,11569,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,,agrupacion,76
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,5,,50,15682,11569,ALIANZA PROYECTO SUR,,agrupacion,26
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,5,,50,15682,11569,ALIANZA UNION PARA EL DESARROLLO SOCIAL - UDESO,,agrupacion,860
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,5,,50,15682,11569,nulos,,nulos,129
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,5,,50,15682,11569,blancos,,blancos,184
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,5,,50,15682,11569,recurridos,,recurridos,0
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,6,,446,150259,112694,DEL CAMPO POPULAR,,agrupacion,167
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,6,,446,150259,112694,COALICION CIVICA ARI,,agrupacion,3370
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,6,,446,150259,112694,MOVIMIENTO DE ACCION VECINAL,,agrupacion,35
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,6,,446,150259,112694,ALIANZA FRENTE PARA LA VICTORIA,,agrupacion,36882
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,6,,446,150259,112694,ALIANZA FRENTE POPULAR,,agrupacion,17128
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,6,,446,150259,112694,ALIANZA COMPROMISO FEDERAL,,agrupacion,14127
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,6,,446,150259,112694,ALIANZA FRENTE AMPLIO PROGRESISTA,,agrupacion,26965
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,6,,446,150259,112694,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,,agrupacion,981
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,6,,446,150259,112694,ALIANZA PROYECTO SUR,,agrupacion,445
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,6,,446,150259,112694,ALIANZA UNION PARA EL DESARROLLO SOCIAL - UDESO,,agrupacion,9572
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,6,,446,150259,112694,nulos,,nulos,1060
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,6,,446,150259,112694,blancos,,blancos,1671
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,6,,446,150259,112694,recurridos,,recurridos,291
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,7,,387,126957,93530,ALIANZA FRENTE POPULAR,,agrupacion,12008
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,7,,387,126957,93530,ALIANZA COMPROMISO FEDERAL,,agrupacion,2061
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,7,,387,126957,93530,ALIANZA FRENTE AMPLIO PROGRESISTA,,agrupacion,18182
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,7,,387,126957,93530,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,,agrupacion,391
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,7,,387,126957,93530,ALIANZA PROYECTO SUR,,agrupacion,273
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,7,,387,126957,93530,ALIANZA UNION PARA EL DESARROLLO SOCIAL - UDESO,,agrupacion,14441
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,7,,387,126957,93530,DEL CAMPO POPULAR,,agrupacion,193
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,7,,387,126957,93530,COALICION CIVICA ARI,,agrupacion,2096
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,7,,387,126957,93530,MOVIMIENTO DE ACCION VECINAL,,agrupacion,150
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,7,,387,126957,93530,ALIANZA FRENTE PARA LA VICTORIA,,agrupacion,40748
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,7,,387,126957,93530,nulos,,nulos,1344
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,7,,387,126957,93530,blancos,,blancos,1617
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,7,,387,126957,93530,recurridos,,recurridos,26
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,8,,158,52753,40538,DEL CAMPO POPULAR,,agrupacion,86
