eleccion_id,ambito,distrito,tipo_voto,agrupacion_key,nombre_fuente,formula,votos,fuente_id
2019-GENERAL,PROVINCIA,Santa Fe,POSITIVO,JUNTOS_POR_EL_CAMBIO,JUNTOS POR EL CAMBIO,,937611,CONTROL_p.v._definitivo_x_distrito_grales_2019_SANTA_FE
2019-GENERAL,PROVINCIA,Santa Fe,POSITIVO,CONSENSO_FEDERAL,CONSENSO FEDERAL,,193603,CONTROL_p.v._definitivo_x_distrito_grales_2019_SANTA_FE
2019-GENERAL,PROVINCIA,Santa Fe,POSITIVO,FRENTE_DE_IZQUIERDA_Y_DE_TRABAJADORES_UNIDAD,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,,30862,CONTROL_p.v._definitivo_x_distrito_grales_2019_SANTA_FE
2019-GENERAL,PROVINCIA,Santa Fe,POSITIVO,FRENTE_NOS,FRENTE NOS,,33247,CONTROL_p.v._definitivo_x_distrito_grales_2019_SANTA_FE
2019-GENERAL,PROVINCIA,Santa Fe,POSITIVO,UNITE_POR_LA_LIBERTAD_Y_LA_DIGNIDAD,UNITE POR LA LIBERTAD Y LA DIGNIDAD,,40353,CONTROL_p.v._definitivo_x_distrito_grales_2019_SANTA_FE
2019-GENERAL,PROVINCIA,Santa Fe,BLANCO,,,,14121,CONTROL_p.v._definitivo_x_distrito_grales_2019_SANTA_FE
2019-GENERAL,PROVINCIA,Santa Fe,NULO,,,,29501,CONTROL_p.v._definitivo_x_distrito_grales_2019_SANTA_FE
2003-GENERAL,PROVINCIA,Santa Fe,POSITIVO,ALIANZA_FRENTE_POR_LA_LEALTAD_UNION_DEL_CENTRO_DEMOCRATICO,Alianza Frente por la Lealtad - Unión del Centro Democrático,MENEM - ROMERO,425886,CONTROL_resultados_2003_presidente_y_vicepresidente_SANTA_FE
2003-GENERAL,PROVINCIA,Santa Fe,POSITIVO,ALIANZA_AFIRMACION_PARA_UNA_REPUBLICA_IGUALITARIA,Alianza Afirmación para una República Igualitaria,CARRIÓ - GUTIÉRREZ,424085,CONTROL_resultados_2003_presidente_y_vicepresidente_SANTA_FE
2003-GENERAL,PROVINCIA,Santa Fe,POSITIVO,ALIANZA_MOVIMIENTO_FEDERAL_PARA_RECREAR_EL_CRECIMIENTO,Alianza Movimiento Federal para Recrear el Crecimiento,LÓPEZ MURPHY - GÓMEZ DIEZ,292124,CONTROL_resultados_2003_presidente_y_vicepresidente_SANTA_FE
2003-GENERAL,PROVINCIA,Santa Fe,POSITIVO,ALIANZA_FRENTE_PARA_LA_VICTORIA,Alianza Frente para la Victoria,KIRCHNER - SCIOLI,271591,CONTROL_resultados_2003_presidente_y_vicepresidente_SANTA_FE
